step,ball_x,ball_y,paddle1_x,paddle2_x,bot1_action,bot2_action,score_bot1,score_bot2
1,9,14,13,13,left,left,0,0
2,10,13,12,12,left,left,0,0
3,11,12,11,11,left,left,0,0
4,12,11,11,11,stay,stay,0,0
5,13,10,11,11,stay,stay,0,0
6,14,9,12,12,right,right,0,0
7,15,8,13,13,right,right,0,0
8,16,7,14,14,right,right,0,0
9,17,6,15,15,right,right,0,0
10,18,5,16,16,right,right,0,0
11,19,4,17,17,right,right,0,0
12,20,3,18,18,right,right,0,0
13,21,2,19,19,right,right,0,0
14,22,1,20,20,right,right,0,0
15,23,0,21,21,right,right,0,0
16,8,14,13,13,left,left,1,0
17,7,13,14,12,right,left,1,0
18,6,12,13,11,left,left,1,0
19,5,11,12,11,left,stay,1,0
20,4,10,11,10,left,left,1,0
21,3,9,10,9,left,left,1,0
22,2,8,9,8,left,left,1,0
23,1,7,8,7,left,left,1,0
24,0,6,7,6,left,left,1,0
25,1,5,6,5,left,left,1,0
26,2,4,5,4,left,left,1,0
27,3,3,6,3,right,left,1,0
28,4,2,5,3,left,stay,1,0
29,5,1,4,3,left,stay,1,0
30,6,0,4,4,stay,right,1,0
31,20,14,15,15,right,right,2,0
32,19,13,16,16,right,right,2,0
33,18,12,17,17,right,right,2,0
34,17,11,17,17,stay,stay,2,0
35,16,10,17,17,stay,stay,2,0
36,15,9,16,16,left,left,2,0
37,14,8,15,17,left,right,2,0
38,13,7,14,16,left,left,2,0
39,12,6,13,15,left,left,2,0
40,11,5,12,14,left,left,2,0
41,10,4,11,13,left,left,2,0
42,9,3,10,12,left,left,2,0
43,8,2,9,11,left,left,2,0
44,7,1,8,10,left,left,2,0
45,6,0,7,9,left,left,2,0
46,5,14,13,13,left,left,3,0
47,6,13,12,12,left,left,3,0
48,7,12,11,11,left,left,3,0
49,8,11,10,10,left,left,3,0
50,9,10,9,9,left,left,3,0
51,10,9,9,9,stay,stay,3,0
52,11,8,9,9,stay,stay,3,0
53,12,7,10,10,right,right,3,0
54,13,6,10,11,stay,right,3,0
55,14,5,11,12,right,right,3,0
56,15,4,12,13,right,right,3,0
57,16,3,13,14,right,right,3,0
58,17,2,13,15,stay,right,3,0
59,18,1,14,15,right,stay,3,0
60,19,0,15,16,right,right,3,0
61,19,14,13,15,left,right,4,0
62,20,13,14,16,right,right,4,0
63,21,12,15,17,right,right,4,0
64,22,11,16,18,right,right,4,0
65,23,10,17,19,right,right,4,0
66,24,9,18,20,right,right,4,0
67,25,8,19,21,right,right,4,0
68,26,7,20,22,right,right,4,0
69,27,6,21,23,right,right,4,0
70,28,5,22,24,right,right,4,0
71,29,4,23,24,right,stay,4,0
72,28,3,23,25,stay,right,4,0
73,27,2,24,26,right,right,4,0
74,26,1,25,26,right,stay,4,0
75,25,0,25,26,stay,stay,4,0
